Plot Name,Year,Site,PPQ,DEM_Scale (cm),OBJECTID *,SHAPE *,SHAPE_Length,SHAPE_Area,Z_Min,Z_Max,Z_Mean,SArea,Min_Slope,Max_Slope,Avg_Slope,3D Surface Area Complexity,Rugosity,Terrain Ruggedness,Curvature,Abs Curv
KI19_Site5_MPQ1,2019,5,1,1,1,Polygon,16.607787,16.883299,-2.573118,-1.233924,-1.912594,40.111256,0.076266,10000,636.742771,2.37579492,2.37579492,0.08225421,5.775326595,5.775326595
KI19_Site5_MPQ1,2019,5,1,4,1,Polygon,16.607787,16.883299,-2.505565,-1.248682,-1.911439,30.851258,0.700958,10000,236.318686,1.827324032,1.827324032,0.107802288,5.852178719,5.852178719
KI19_Site5_MPQ1,2019,5,1,8,1,Polygon,16.607787,16.883299,-2.447465,-1.288059,-1.906567,25.492573,0.56128,10000,153.455901,1.509928421,1.509928421,0.099215148,3.109092592,3.109092592
KI19_Site5_MPQ2,2019,5,2,1,1,Polygon,18.655597,21.090163,-3.192359,-1.542806,-2.359359,41.035644,0.259099,10000,419.355485,1.945724364,1.945724364,0.069230814,1.853647906,1.853647906
KI19_Site5_MPQ2,2019,5,2,4,1,Polygon,18.655597,21.090163,-3.174422,-1.57337,-2.360109,32.40653,1.081006,10000,163.540889,1.536570865,1.536570865,0.078837119,0.907724463,0.907724463
KI19_Site5_MPQ2,2019,5,2,8,1,Polygon,18.655597,21.090163,-3.164506,-1.591441,-2.358835,27.475849,1.019602,10000,104.059462,1.302780306,1.302780306,0.062235646,-0.503239164,0.503239164
KI19_Site27_MPQ1,2019,27,1,1,1,Polygon,16.456071,14.99459,-0.99896,-0.139352,-0.693137,23.816788,0.111627,10000,205.750389,1.588358735,1.588358735,0.056691189,-0.539871311,0.539871311
KI19_Site27_MPQ1,2019,27,1,4,1,Polygon,16.456071,15.785483,-0.996935,-0.156824,-0.682681,19.960745,0.114948,10000,91.321809,1.264500111,1.264500111,0.053413118,-1.876496433,1.876496433
KI19_Site27_MPQ1,2019,27,1,8,1,Polygon,16.456071,15.785483,-0.980923,-0.22028,-0.685463,17.330758,1.28104,10000,60.490761,1.097892158,1.097892158,0.032502674,0.29458096,0.29458096
KI17_Site27_MPQ2,2019,27,2,1,1,Polygon,16.691975,17.288985,-1.90285,0,-1.369769,26.978198,0.105004,10000,226.624842,1.560426942,1.560426942,0.048482704,0.01696415,0.01696415
KI17_Site27_MPQ2,2019,27,2,4,1,Polygon,16.691975,17.288985,-1.894797,-0.794475,-1.37461,22.066095,0.418858,10000,94.012803,1.276309454,1.276309454,0.050407709,0.502148144,0.502148144
KI17_Site27_MPQ2,2019,27,2,8,1,Polygon,16.691975,17.288985,-1.882154,-0.806542,-1.377744,19.511353,1.0223,10000,62.494583,1.128542422,1.128542422,0.033976457,-0.004846588,0.004846588
KI19_Site35_MPQ1,2019,35,1,1,1,Polygon,15.324638,14.534303,-1.813368,-0.403017,-0.993709,24.555072,0.188545,10000,261.104181,1.689456453,1.689456453,0.054612066,32.43938025,32.43938025
KI19_Site35_MPQ1,2019,35,1,4,1,Polygon,15.324638,14.534303,-1.772678,-0.411637,-0.994448,20.25783,1.00046,10000,122.588949,1.393794391,1.393794391,0.063515098,26.07770975,26.07770975
KI19_Site35_MPQ1,2019,35,1,8,1,Polygon,15.324638,14.534303,-1.736208,-0.422425,-0.993804,17.358132,0.596273,10000,82.539477,1.194287198,1.194287198,0.049630902,24.05030459,24.05030459
KI19_Site35_MPQ2,2019,35,2,1,1,Polygon,15.658201,14.7828,-2.266651,-1.22221,-1.734905,27.976935,0.32791,4405.738595,360.617689,1.892532876,1.892532876,0.067992212,37.15421079,37.15421079
KI19_Site35_MPQ2,2019,35,2,4,1,Polygon,15.658201,14.7828,-2.259749,-1.248516,-1.738342,22.673577,1.063692,943.291699,149.66495,1.533780948,1.533780948,0.075053356,32.14699027,32.14699027
KI19_Site35_MPQ2,2019,35,2,8,1,Polygon,15.658201,14.7828,-2.23889,-1.265556,-1.739187,19.762073,1.287421,634.901157,97.093357,1.336828815,1.336828815,0.059704652,22.1059295,22.1059295
