"","year","hum_dist","pub.site","site","ppq","DEM","area_2d","area_3d","rug","vrm","curv","pro.curv","plan.curv","region.kb","island.side","region.3","region.4","region.full","hdist.cont","sqrt.hdist.cont","fractal.dimension"
"1","2015","Very Low","VL3","5",1,1,16.00663,37.82685,2.3632,0.09005,28.43096,-284.45926,-256.0283,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0,2.15201754980334
"2","2015","Very Low","VL3","5",2,1,16.02239,35.68076,2.22693,0.08478,-10.46839,-417.36999,-427.83836,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0,2.15204604761234
"3","2015","Very Low","VL3","5",3,1,16.01333,31.64109,1.97592,0.07094,10.22411,-134.63692,-124.41281,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0,2.15598909101882
"4","2015","Very High","VH1","27",1,1,15.99876,24.52567,1.53297,0.04484,-13.73462,286.98938,273.25477,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445,2.16118611210792
"5","2015","Very High","VH1","27",2,1,16.00535,24.4374,1.52683,0.04193,5.20763,219.90472,225.11235,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445,2.1624114050529
"6","2015","Very High","VH1","27",3,1,16.00504,23.67035,1.47893,0.04562,6.4818,230.87942,237.36122,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445,2.15958668798879
"7","2015","Very High","VH3","30",1,1,16.00174,37.65534,2.3532,0.076,51.41088,-47.73393,3.67696,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761,2.14657237146717
"8","2015","Very High","VH3","30",2,1,15.99807,30.39497,1.89991,0.05724,5.43773,224.84395,230.28169,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761,2.14942420668194
"9","2015","Very High","VH3","30",3,1,16.01118,28.66715,1.79045,0.0592,-16.91448,300.99317,284.0787,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761,2.15300353191571
"10","2015","Medium","M1","8",1,1,16.00881,28.69766,1.79262,0.07319,28.69497,34.64098,63.33595,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.16311200567635
"11","2015","Medium","M1","8",2,1,16.00972,33.49165,2.09196,0.0909,46.04387,-212.06297,-166.01911,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.16166824030734
"12","2015","Medium","M1","8",3,1,16.01384,28.51803,1.78084,0.06025,-2.54636,103.79142,101.24506,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.15757838733649
"13","2015","Very High","VH2","32",1,1,16.0083,29.16348,1.82177,0.06613,11.92347,-6.66107,5.2624,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069,2.15279509728066
"14","2015","Very High","VH2","32",2,1,16.0163,25.65525,1.60182,0.06237,-5.27156,178.06504,172.79348,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069,2.15321492065196
"15","2015","Very High","VH2","32",3,1,16.00447,24.53674,1.53312,0.05346,-3.01614,185.98534,182.9692,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069,2.16663084724581
"16","2015","Medium","M3","34",1,1,16.00784,30.87631,1.92882,0.06978,-1.99482,95.1055,93.11068,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.15791121002587
"17","2015","Medium","M3","34",2,1,16.0031,28.83118,1.8016,0.06928,31.03026,104.35264,135.3829,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.16060546650312
"18","2015","Medium","M3","34",3,1,16.00392,29.63807,1.85193,0.07234,13.06869,136.25805,149.32673,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.1632235954634
"19","2015","Medium","M2","35",1,1,16.00591,26.39876,1.64931,0.05375,21.92695,131.0193,152.94625,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.15943378865304
"20","2015","Medium","M2","35",2,1,16.00473,31.04983,1.94004,0.06925,48.29471,104.35529,152.65,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.16494631505497
"21","2015","Medium","M2","35",3,1,16.00504,35.81899,2.23798,0.08512,-7.87282,-60.11308,-67.9859,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,2.16988575465693
"22","2015","Very Low","VL1","15",1,1,15.98005,33.30464,2.08414,0.08435,-44.0828,-85.80637,-129.88917,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,2.16073905790882
"23","2015","Very Low","VL1","15",2,1,16.00737,44.13456,2.75714,0.10977,-9.93691,-401.93005,-411.86695,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,2.16901809657872
"24","2015","Very Low","VL1","15",3,1,16.00391,44.80773,2.7998,0.11092,1.40888,-346.24354,-344.83466,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,2.1648817538192
"25","2015","Very Low","VL3","19",1,1,16.00236,41.1023,2.56851,0.11073,2.93432,-458.81829,-455.88397,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,2.15681850149715
"26","2015","Very Low","VL3","19",2,1,16.00487,34.78813,2.1736,0.09081,-6.91428,-297.13655,-304.05083,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,2.16390094712244
"79","2017","Very Low","VL3","5",1,1,16.0064,30.73891,1.92041,0.04279,-10.00335,99.75357,89.75023,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0,2.15357399433116
"80","2017","Very Low","VL3","5",2,1,16.02332,26.72448,1.66785,0.04741,-10.70502,2.74082,-7.96421,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0,2.15110971585498
"81","2017","Very Low","VL3","5",3,1,16.01441,27.25503,1.70191,0.04922,8.38089,63.00224,71.38313,"Vaskes","Leeward","South Shore","Vaskess Bay","Vaskess Bay",0,0,2.15474972897004
"82","2017","Very High","VH1","27",1,1,15.99916,22.12574,1.38293,0.03328,2.36308,172.73832,175.10139,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445,2.14832080315282
"83","2017","Very High","VH1","27",2,1,16.00492,21.70407,1.35609,0.02947,-13.25693,229.09551,215.83859,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445,2.15518850118686
"84","2017","Very High","VH1","27",3,1,16.00605,20.04707,1.25247,0.02906,3.41371,282.15821,285.57192,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",7276,85.2994724485445,2.15325483035595
"85","2017","Very High","VH3","30",1,1,16.00278,32.87309,2.05421,0.04329,13.6836,91.71023,105.39384,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761,2.14836816764044
"86","2017","Very High","VH3","30",2,1,16.00015,27.19796,1.69986,0.05336,4.0591,304.50746,308.56657,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761,2.15627009020504
"87","2017","Very High","VH3","30",3,1,16.01308,26.74248,1.67004,0.04572,1.29156,224.09641,225.38796,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761,2.15312734091654
