Year,site,ppq,digitizer,OBJECTID *,SHAPE *,Benthic_Morphology,SHAPE_Length,SHAPE_Area,Z_Min,Z_Max,Z_Mean,SArea,Min_Slope,Max_Slope,Avg_Slope
2017,5,1,BS,1,Polygon,Dead_Massive,154.771744,10.257812,3.153824,4.88256,4.081451,17.864349,0.265479,10000,368.312107
2017,5,1,BS,1,Polygon,Live_Massive,0.871967,0.045991,4.733106,4.844089,4.799075,0.053555,17.568902,8954.783403,87.007734
2017,5,1,BS,2,Polygon,Live_SubMassive,0.943992,0.011962,4.483549,4.768082,4.674338,0.014672,10.420755,10000,348.579964
2017,5,1,BS,3,Polygon,Dead_Foliose,0.979435,0.04999,4.616005,4.724732,4.665,0.05687,2.218309,281.81915,82.956283
2017,5,1,BS,4,Polygon,Live_SubMassive,0.548639,0.005325,4.55967,4.63627,4.608863,0.005516,36.335108,3275.960728,273.982027
2017,5,1,BS,5,Polygon,Live_SubMassive,0.132957,0.000789,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
2017,5,1,BS,6,Polygon,Live_SubMassive,0.18791,0.001101,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
2017,5,1,BS,8,Polygon,Macroalgae,0.241186,0.001679,4.729675,4.771942,4.745206,0.001423,23.629148,1571.291388,126.684817
2017,5,1,BS,9,Polygon,Macroalgae,1.182611,0.031472,4.460822,4.663785,4.547906,0.048911,7.90236,7613.01751,287.583527
2017,5,1,BS,10,Polygon,Macroalgae,0.294601,0.0039,4.488708,4.677111,4.567764,0.008498,17.986124,1044.337705,621.345333
2017,5,1,BS,11,Polygon,Macroalgae,0.04781,0.000149,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
2017,5,1,BS,12,Polygon,Macroalgae,0.303878,0.002454,4.482357,4.506215,4.49443,0.001046,38.019295,84.142043,55.804144
2017,5,1,BS,13,Polygon,Macroalgae,0.270204,0.00275,4.507417,4.53528,4.528181,0.001465,2.220004,167.959101,47.832941
2017,5,1,BS,14,Polygon,Macroalgae,0.500497,0.01097,4.408758,4.443403,4.432266,0.00927,4.537107,378.332095,52.58116
2017,5,1,BS,15,Polygon,Macroalgae,0.610335,0.007262,4.398181,4.456589,4.433413,0.004759,2.765728,139.559581,68.295617
2017,5,1,BS,16,Polygon,Macroalgae,0.11194,0.000505,4.431446,4.443252,4.437016,0.000208,61.14145,98.021346,76.11136
2017,5,1,BS,17,Polygon,Macroalgae,0.110725,0.000515,4.368523,4.387726,4.376415,0.000193,110.800212,366.759998,158.096225
2017,5,1,BS,18,Polygon,Live_Encrusting,0.237107,0.003495,4.430902,4.473137,4.456598,0.003363,7.206614,142.26841,86.506572
2017,5,1,BS,19,Polygon,Dead_Branching,0.757719,0.029336,4.307723,4.564578,4.486754,0.062568,22.723089,10000,406.854539
2017,5,1,BS,20,Polygon,Macroalgae,0.262041,0.002376,4.273511,4.40948,4.334976,0.00583,112.510696,891.646656,604.01457
2017,5,1,BS,21,Polygon,Rubble,0.26437,0.004083,4.196866,4.27108,4.220694,0.0042,21.624416,811.792591,202.072982
2017,5,1,BS,22,Polygon,Macroalgae,0.24456,0.00164,4.466541,4.565016,4.504821,0.002609,143.048846,768.755707,436.074589
2017,5,1,BS,23,Polygon,Live_SubMassive,1.086743,0.021741,4.643939,4.746234,4.706705,0.024174,5.85834,10000,130.874013
2017,5,1,BS,24,Polygon,Macroalgae,0.275315,0.003811,4.473044,4.558619,4.51188,0.005109,70.935794,4223.121731,260.7137
2017,5,1,BS,25,Polygon,Dead_Branching,1.252326,0.073512,4.383029,4.56956,4.468532,0.098534,4.640201,3782.991145,126.503566
2017,5,1,BS,26,Polygon,Dead_Foliose,0.598229,0.019638,4.394661,4.47695,4.420266,0.022595,20.192822,10000,120.794193
2017,5,1,BS,27,Polygon,Live_Encrusting,0.080056,0.000434,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
