"","vrm","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Porites","Live_SubMassive","Live_Tabulate","NonCoral_Massive","NonCoral_SubMassive","SoftCoral_Nodular","SoftCoral_Plating"
"1",0.04484,0.544494214748968,0,0,6.56008029914682,0,0,0.442501548421048,0,0,1.16694385122158,0,0.672211607751668,0.238734963441013,0.417120568093964,0.349752533879328,0,0,0,0,0,0
"2",0.04193,0,0,0,3.71683359767582,0,0,0.161679144115092,0,0,0,0,0,0.0778096499209222,0.0724182626963733,0,0,0,0,0,0,0
"3",0.04562,0.0865594534017759,0,0,9.47008744665034,0,0,0.0248864671999047,0,0,0.258479614168604,0,0,0.0504472290454666,0.166975333365342,0.151066974502984,0,0,0,0,0,0
"4",0.06613,0.472822745797671,0,0,37.4217428649307,0,0,1.21196188218647,0.0491006794977031,0,0.39537817920343,0,0.737765341464534,0.244935145951661,0.537684599790122,0.110946429179154,0.00127388256613652,0,0,0.0258773007552438,0,0
"5",0.06237,0.478124514167728,0,0,24.4190647919967,0,0,1.25026769553325,0,0,2.29518872300958,0,0.109812922186294,0.0367125302737893,0.8861206031594,0,0.0611563323183276,0,0,0,0.0756477919723183,0
"6",0.05346,0.0417720469533802,0,0,19.8291207146556,0,0,0.774688413704955,0,0,1.01404986492809,0,0.425998657121781,0.00907164405867604,0.491568150507322,0.0315508281655055,0,0,0,0.124691371985576,0,0
"7",0.076,1.21547309957269,0.0832301426304504,0,33.2277201768684,0,0,4.21158364301976,0,0,11.2698651326248,0.310978191744715,0.439408761699718,0.191090122194545,4.74538391649201,15.7665562855063,3.32537093313847,1.33059732218177,0,0,0,0.0976650976940923
"8",0.05724,0.249112158818575,0,0,8.95077097205217,0,0,3.80428756277702,0,0.0218645473798182,4.00547263373903,0,0.19676843239129,0,2.640725068372,3.32905225495636,1.7379191660187,0,0,0,0,0
"9",0.0592,1.06320263443373,0,0,17.4365991357554,0,0,2.51222209705356,0,0.141847900164372,7.89887603386027,0,1.02312100233955,0.0089934717975305,4.877878611159,15.641085166622,1.48117812613391,0,0,0,0.0259659268784064,1.48887703590107
"10",0.07319,4.32273693881102,0.898590777156546,0.0335940501983226,44.3783786490035,0,0,2.39607935905957,0.224118875875992,0,9.04191245771017,0.15898972527727,3.75812784513694,0.639695050134489,11.3401259902047,6.81829674160243,2.65886143205278,0,0.131021802338316,0.145565873251301,1.43395527385284,2.44202710804542
"11",0.0909,3.11946007915433,0,0.0624215553610304,32.2937797988132,0,0,7.31658202947504,0,0,9.85044497375003,0,8.70226061093052,0.72549287201926,22.5759603310204,6.37990268258414,5.49642593811122,0,0,0,0.561937654020066,0
