DATE,Plot Name,Hum_Dist,Year,Site,Plot,User Processing files,DEM & ORTHO UPLOAD COMPLETE,DEM_SCALE_cm,PLOT SHAPEFILE CREATED,PLOT AREA DIGITIZED,CLIP DEM RASTER TO SHAPEFILE AREA FOR STRUCTURAL ANALYSES,OBJECTID *,SHAPE *,SHAPE_Length,SHAPE_Area,Z_Min,Z_Max,Z_Mean,SArea,Min_Slope,Max_Slope,Avg_Slope,Complexity Calculation,surface.rugosity,CREATE BTM SLOPE RASTER,slope,CREATE BTM VRM RASTER,terrain.rug,CREATE CURVATURE RASTERS,Avg Curvature,Profile Curvature,Planform Curvature
14-Apr-20,KI15_Site5_MPQ1,Very Low,2015,5,1,KB,X,1,X,X,X,4,Polygon,16,16,2.345046,3.916874,3.184981,37.826846,0.372051,10000,511.687097,2.363199067,2.363199067,X,45.09501467,X,0.090052359,X,2.84E+01,-284.4592618,-256.0282991
14-Apr-20,KI15_Site5_MPQ2,Very Low,2015,5,2,KB,X,1,X,X,X,1,Polygon,16.431394,16.022392,2.515225,3.635708,3.078382,35.680759,0.429526,10000,624.137554,2.226930848,2.226930848,X,42.37825857,X,0.084778145,X,-1.05E+01,-417.3699852,-427.8383627
14-Apr-20,KI15_Site5_MPQ3,Very Low,2015,5,3,KB,X,1,X,X,X,2,Polygon,16.168698,16.01333,9.097798,10.40339,9.816718,31.641088,0.516923,10000,334.808861,1.97592181,1.97592181,X,42.5437375,X,0.070944518,X,1.02E+01,-134.6369158,-124.4128073
14-Apr-20,KI15_Site27_MPQ1,Very High,2015,27,1,KB,X,1,X,X,X,1,Polygon,16.382721,15.998761,2.739897,3.463214,2.922893,24.525666,0.090786,10000,265.809897,1.532972835,1.532972835,X,33.173167,X,0.044837852,X,-1.37E+01,286.9893833,273.2547688
14-Apr-20,KI15_Site27_MPQ2,Very High,2015,27,2,KB,X,1,X,X,X,1,Polygon,16,16,2.739973,4.048646,3.33607,24.437403,0,10000,220.510133,1.526827441,1.526827441,X,34.7737793,X,0.041933728,X,5.21E+00,219.9047237,225.1123505
14-Apr-20,KI15_Site27_MPQ3,Very High,2015,27,3,KB,X,1,X,X,X,1,Polygon,16.069428,16.005044,2.750371,3.387351,3.038634,23.670351,0,10000,184.702296,1.478930705,1.478930705,X,33.96084366,X,0.045619437,X,6.48E+00,230.8794209,237.3612193
14-Apr-20,KI15_Site30_MPQ1,Very High,2015,30,1,KB,X,1,X,X,X,1,Polygon,16.465942,16.001736,-3.165378,-1.722089,-2.577284,37.657408,0.588386,10000,737.806147,2.353332663,2.353332663,X,43.21290826,X,0.075996737,X,5.14E+01,-47.73392716,3.676961693
14-Apr-20,KI15_Site30_MPQ2,Very High,2015,30,2,KB,X,1,X,X,X,1,Polygon,16,15.99807,1.294561,3.176233,2.062522,30.394966,0.807502,10000,470.221586,1.899914552,1.899914552,X,39.27383553,X,0.057236042,X,5.44E+00,224.8439547,230.2816882
14-Apr-20,KI15_Site30_MPQ3,Very High,2015,30,3,KB,X,1,X,X,X,1,Polygon,16.208062,16.01118,2.142376,2.9674,2.514299,28.667145,0.169539,10000,362.234872,1.790445489,1.790445489,X,39.02365851,X,0.059195621,X,-1.69E+01,300.9931749,284.0786992
15-Apr-20,KI15_Site8_MPQ1,Medium,2015,8,1,KB,X,1,X,X,X,1,Polygon,16.015437,16.008811,2.950593,4.072422,3.46223,28.697663,0.425036,10000,258.523676,1.792616766,1.792616766,X,40.60265995,X,0.073191071,X,2.87E+01,34.64098029,63.33595289
15-Apr-20,KI15_Site8_MPQ2,Medium,2015,8,2,KB,X,1,X,X,X,1,Polygon,16.609247,16.009716,-3.324504,-2.216323,-2.696436,33.491647,0.098186,10000,431.965221,2.091957596,2.091957596,X,42.97828492,X,0.090903497,X,4.60E+01,-212.0629726,-166.0191077
15-Apr-20,KI15_Site8_MPQ3,Medium,2015,8,3,KB,X,1,X,X,X,1,Polygon,16.171468,16.013835,2.981708,4.121127,3.490992,28.518028,0.102963,10000,284.868389,1.780836883,1.780836883,X,39.59888442,X,0.060250254,X,-2.55E+00,103.7914225,101.2450601
15-Apr-20,KI15_Site32_MPQ1,Very High,2015,32,1,KB,X,1,X,X,X,1,Polygon,16.200462,16.0083,1.737166,3.185832,2.49274,29.163476,0.648673,10000,330.228744,1.821772206,1.821772206,X,39.32146203,X,0.066128084,X,1.19E+01,-6.661071593,5.262400871
15-Apr-20,KI15_Site32_MPQ2,Very High,2015,32,2,KB,X,1,X,X,X,1,Polygon,16.1062,16.016302,2.5164,3.672705,2.994446,25.655253,0.366525,10000,192.01184,1.601821257,1.601821257,X,37.76315957,X,0.0623651,,,,
15-Apr-20,KI15_Site32_MPQ3,Very High,2015,32,3,KB,X,1,X,X,X,1,Polygon,16.055703,16.004469,3.041744,3.759648,3.291868,24.536741,0.124948,10000,178.913598,1.533118093,1.533118093,X,35.95609121,X,0.05345558,X,-3.02E+00,185.9853382,182.9691983
