"","year","hum_dist","region","site","ppq","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating","NonCoral_Branching"
"1",2015,"Medium","S.Lagoon",8,1,"2015.8.1",NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"2",2015,"Medium","S.Lagoon",8,2,"2015.8.2",NA,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,0,0
"3",2015,"Medium","S.Lagoon",8,3,"2015.8.3",NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0
"4",2015,"Medium","S.Lagoon",34,1,"2015.34.1",NA,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0
"5",2015,"Medium","S.Lagoon",34,2,"2015.34.2",NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0
"6",2015,"Medium","S.Lagoon",34,3,"2015.34.3",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0
"7",2015,"Medium","S.Lagoon",35,1,"2015.35.1",NA,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,0
"8",2015,"Medium","S.Lagoon",35,2,"2015.35.2",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0
"9",2015,"Medium","S.Lagoon",35,3,"2015.35.3",NA,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0
"10",2015,"Very High","N.Lagoon",27,1,"2015.27.1",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"11",2015,"Very High","N.Lagoon",27,2,"2015.27.2",0,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"12",2015,"Very High","N.Lagoon",27,3,"2015.27.3",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"13",2015,"Very High","N.Lagoon",30,1,"2015.30.1",NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0
"14",2015,"Very High","N.Lagoon",30,2,"2015.30.2",NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0
"15",2015,"Very High","N.Lagoon",30,3,"2015.30.3",NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0
"16",2015,"Very High","N.Lagoon",32,1,"2015.32.1",NA,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,0
"17",2015,"Very High","N.Lagoon",32,2,"2015.32.2",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,0,0
"18",2015,"Very High","N.Lagoon",32,3,"2015.32.3",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0
"19",2015,"Very Low","BOW",15,1,"2015.15.1",NA,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0
"20",2015,"Very Low","BOW",15,2,"2015.15.2",NA,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0
"21",2015,"Very Low","BOW",15,3,"2015.15.3",NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0
"22",2015,"Very Low","BOW",19,1,"2015.19.1",NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"23",2015,"Very Low","BOW",19,2,"2015.19.2",NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"24",2015,"Very Low","Vaskes",5,1,"2015.5.1",NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,0,0
"25",2015,"Very Low","Vaskes",5,2,"2015.5.2",NA,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0
"26",2015,"Very Low","Vaskes",5,3,"2015.5.3",NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0
"27",2017,"Medium","S.Lagoon",8,1,"2017.8.1",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0
"28",2017,"Medium","S.Lagoon",8,2,"2017.8.2",NA,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0
"29",2017,"Medium","S.Lagoon",8,3,"2017.8.3",NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0
"30",2017,"Medium","S.Lagoon",34,1,"2017.34.1",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"31",2017,"Medium","S.Lagoon",34,2,"2017.34.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"32",2017,"Medium","S.Lagoon",34,3,"2017.34.3",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"33",2017,"Medium","S.Lagoon",35,1,"2017.35.1",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"34",2017,"Medium","S.Lagoon",35,2,"2017.35.2",NA,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"35",2017,"Medium","S.Lagoon",35,3,"2017.35.3",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0
"36",2017,"Very High","N.Lagoon",27,1,"2017.27.1",0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"37",2017,"Very High","N.Lagoon",27,2,"2017.27.2",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0
