"","year","pub.site","site","ppq","hum_dist","hdist.cont","sqrt.hdist.cont","island.side","region.3","DEM","area_3d","rug","vrm","vrm.range","curv","mean.pro.curv","pro.range.log","mean.plan.curv","plan.range.log"
"255","2015","VH1","27",1,"Very High",7276,85.2994724485445,"Leeward","Leeward",8,18.34028,1.14636,0.04064,0.282498801,-6.19688,100.23099,9.35708248176679,94.03412,9.11919528540581
"256","2015","VH1","27",2,"Very High",7276,85.2994724485445,"Leeward","Leeward",8,18.29991,1.14336,0.03884,0.248424449,2.57403,59.82929,9.18561663836656,62.40332,8.79909657546329
"257","2015","VH1","27",3,"Very High",7276,85.2994724485445,"Leeward","Leeward",8,17.47931,1.09211,0.02884,0.303114852,4.80642,60.22814,8.91760918095154,65.03456,8.94692027436299
"258","2015","VH2","32",1,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",8,18.91985,1.18188,0.04423,0.27729699,9.29343,49.07199,9.00511123122687,58.36542,8.69543755942734
"259","2015","VH2","32",2,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",8,17.51249,1.09342,0.02809,0.216242571,-4.34114,43.48941,8.82725975308253,39.14827,8.61497005300354
"260","2015","VH2","32",3,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",8,17.40694,1.08763,0.03135,0.167611164,-1.69619,75.21812,8.54473682359493,73.52194,8.53517886395135
"261","2015","VH3","30",1,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",8,24.19481,1.51201,0.08909,0.479462873,24.81584,55.47518,9.85733713244953,80.29102,9.73470606237133
"262","2015","VH3","30",2,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",8,21.0593,1.31638,0.0545,0.363439884,-9.04595,103.6073,9.63200343232563,94.56136,9.50620490443377
"263","2015","VH3","30",3,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",8,19.79531,1.23634,0.05395,0.324961083,-9.444,115.36604,9.41562973954143,105.92203,9.24348515950143
"264","2015","M1","8",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",8,18.55915,1.15931,0.03923,0.35290372,22.82904,24.53572,9.10191113349005,47.36476,9.05140279741122
"265","2015","M1","8",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",8,20.35748,1.27157,0.05811,0.315519736,45.41586,17.79539,9.49778116774809,63.21125,9.06418419698374
"266","2015","M1","8",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",8,19.19765,1.19882,0.04116,0.336552105,-0.47173,29.37697,9.1333901432816,28.90525,8.67790067667911
"267","2015","M2","35",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",8,19.00001,1.18706,0.04705,0.259686115,27.65889,44.20526,9.19846051478078,71.86415,9.0285884380763
"268","2015","M2","35",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",8,20.71615,1.29438,0.06179,0.325816359,38.93075,19.97492,9.30207857267036,58.90567,9.28527530054289
"269","2015","M2","35",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",8,20.48014,1.27961,0.05691,0.373483633,2.97497,43.28095,9.16718457103874,46.25592,9.14534302164593
"270","2015","M3","34",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",8,20.0182,1.25052,0.04694,0.374629947,-8.48429,65.5944,8.99490183242426,57.11012,9.1731740764052
"271","2015","M3","34",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",8,18.92807,1.18278,0.04139,0.389267061,21.59378,46.03671,8.75053630763114,67.63049,8.86370073830664
