KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note,,KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note,,,
19_07_2019,3,KB,2,,Plectroglyphidodon dickii,10,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Bolbometopon muricatum
19_07_2019,3,KB,2,,Plectroglyphidodon dickii,7,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Bodianus prognathus
19_07_2019,3,KB,2,,Stegastes aureus,9,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Canthigaster amboinensis
19_07_2019,3,KB,2,,Stegastes aureus,10,3,,1016,9.2,2,,,,,,,,,,,,,,,,,,Canthigaster janthinoptera
19_07_2019,3,KB,2,,Stegastes aureus,6,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Caracanthus maculatus
19_07_2019,3,KB,2,,Gomphosus varius,8,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Canthigaster solandri
19_07_2019,3,KB,2,,Halichoeres hortulanus,8,2,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon auriga
19_07_2019,3,KB,2,,Halichoeres ornatissimus,8,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon bennetti
19_07_2019,3,KB,2,,Halichoeres ornatissimus,12,3,,1016,9.2,2,,,,,,,,,,,,,,,,,,Cheilinus chlorourus
19_07_2019,3,KB,2,,Hemigymnus fasciatus,23,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon citrinellus
19_07_2019,3,KB,2,,Labroides bicolor,11,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon ephippium
19_07_2019,3,KB,2,,Labroides dimidiatus,8,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Cheilinus fasciatus
19_07_2019,3,KB,2,,Pseudocheilinus hexataenia,7,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon lineolatus
19_07_2019,3,KB,2,,Thalassoma amblycephalum,4,12,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon lunula
19_07_2019,3,KB,2,,Scarus globiceps,23,1,IP,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon lunulatus
19_07_2019,3,KB,2,,Acanthurus lineatus,20,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon meyeri
19_07_2019,3,KB,2,,Acanthurus lineatus,24,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon ornatissimus
19_07_2019,3,KB,2,,Acanthurus nigricans,21,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Cheilinus oxycephalus
19_07_2019,3,KB,2,,Acanthurus nigricans,22,2,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon pelewensis
19_07_2019,3,KB,2,,Acanthurus nigricans,18,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon quadrimaculatus
19_07_2019,3,KB,2,,Ctenochaetus striatus,23,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon reticulatus 
19_07_2019,3,KB,2,,Sufflamen bursa,11,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Chaetodon trifascialis
19_07_2019,3,KB,2,,Parupeneus insularis,25,2,,1016,9.2,2,,,,,,,,,,,,,,,,,,Cheilinus trilobatus
19_07_2019,3,KB,2,,Chaetodon vagabundus,15,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,
19_07_2019,3,KB,3,,Cephalopholis urodeta,10,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Chaetodon ulietensis
19_07_2019,3,KB,3,,Cephalopholis urodeta,7,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Cheilinus undulatus
19_07_2019,3,KB,3,,Pseudanthias olivaceus,9,20,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Chaetodon unimaculatus
19_07_2019,3,KB,3,,Pseudanthias olivaceus,13,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Chaetodon vaigiensis
19_07_2019,3,KB,3,,Pseudanthias olivaceus,8,5,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Chaetodon vagabundus
19_07_2019,3,KB,3,,Pseudanthias olivaceus,10,5,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Cirrhitops hubbardi
19_07_2019,3,KB,3,,Cirrhitichthys oxycephalus,6,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Cirrhitichthys oxycephalus
19_07_2019,3,KB,3,,Centropyge flavissima,7,2,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Coris aygula
19_07_2019,3,KB,3,,Chromis vanderbilti,4,60,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Coris centralis
19_07_2019,3,KB,3,,Chromis vanderbilti,6,10,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Coris gaimard
19_07_2019,3,KB,3,,Stegastes aureus,8,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Diplogrammus goramensis
19_07_2019,3,KB,3,,Plectroglyphidodon dickii,9,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Diodon hystrix
19_07_2019,3,KB,3,,Gomphosus varius,7,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Echidna nebulosus
19_07_2019,3,KB,3,,Halichoeres ornatissimus,8,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Echidna unicolor
19_07_2019,3,KB,3,,Labroides dimidiatus,9,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Enchelychore pardalis
19_07_2019,3,KB,3,,Labroides rubrolabiatus,7,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Epibulus insidiator
19_07_2019,3,KB,3,,Thalassoma amblycephalum,4,10,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Eviota albolineata
19_07_2019,3,KB,3,,Thalassoma amblycephalum,6,5,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Eviota sp
19_07_2019,3,KB,3,,Thalassoma amblycephalum,10,2,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Forcipiger flavissimus
19_07_2019,3,KB,3,,Thalassoma quinquevittatum,14,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Forcipiger longirostris
19_07_2019,3,KB,3,,Thalassoma quinquevittatum,11,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Gnathodentex aureolineatus
19_07_2019,3,KB,3,,Chlorurus sordidus,32,1,IP,10:27,7.4,2,,,,,,,,,,,,,,,,,,Gnathanodon speciosus
19_07_2019,3,KB,3,,Chlorurus sordidus,24,1,juv,10:27,7.4,2,,,,,,,,,,,,,,,,,,Gnatholepis sp
19_07_2019,3,KB,3,,Chlorurus sordidus,22,1,IP,10:27,7.4,2,,,,,,,,,,,,,,,,,,Gomphosus varius
19_07_2019,3,KB,3,,Scarus tricolor,20,1,IP,10:27,7.4,2,,,,,,,,,,,,,,,,,,gobiid sp
19_07_2019,3,KB,3,,Scarus tricolor,24,1,IP,10:27,7.4,2,,,,,,,,,,,,,,,,,,Halichoeres hortulanus
19_07_2019,3,KB,3,,Acanthurus lineatus,22,2,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Halichoeres melasmapomus
19_07_2019,3,KB,3,,Acanthurus lineatus,24,2,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Halichoeres marginatus
19_07_2019,3,KB,3,,Acanthurus nigricans,16,3,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Halichoeres margaritaceus
19_07_2019,3,KB,3,,Acanthurus nigrofuscus,7,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Halichoeres pallidus
19_07_2019,3,KB,3,,Ctenochaetus striatus,20,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Halichoeres ornatissimus
19_07_2019,3,KB,3,,Melichthys niger,23,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Halichoeres trimaculatus
19_07_2019,3,KB,3,,Melichthys niger,24,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Heniochus chrysostomus
19_07_2019,3,KB,3,,Melichthys vidua,22,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Hemigymnus fasciatus
19_07_2019,3,KB,3,,Zanclus cornutus,12,1,,10:27,7.4,2,,,,,,,,,,,,,,,,,,Hologymnosus annulatus
19_07_2019,25,KB,1,,Pseudanthias dispar,6,10,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Hologymnosus doliatus
19_07_2019,25,KB,1,,Pseudanthias dispar,8,5,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Labroides bicolor
19_07_2019,25,KB,1,,Pseudanthias dispar,4,50,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Labroides dimidiatus
19_07_2019,25,KB,1,,Pseudanthias olivaceus,9,3,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Labroides pectoralis
19_07_2019,25,KB,1,,Chaetodon vagabundus,13,2,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Labroides rubrolabiatus
19_07_2019,25,KB,1,,Chromis margaritifer,4,5,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Labrichthys unilineatus
19_07_2019,25,KB,1,,Chromis margaritifer,6,5,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Malacanthus latovittatus
19_07_2019,25,KB,1,,Chromis vanderbilti,5,6,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Macropharyngodon meleagris
19_07_2019,25,KB,1,,Chromis vanderbilti,6,40,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Melichthys vidua
19_07_2019,25,KB,1,,Chromis vanderbilti,5,35,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Monotaxis grandoculis
19_07_2019,25,KB,1,,Stegastes aureus,7,3,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Mulloidichthys flavolineatus
19_07_2019,25,KB,1,,Coris centralis,14,1,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Mulloidichthys mimicus
19_07_2019,25,KB,1,,Coris gaimard,23,1,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Mulloidichthys vanicolensis
19_07_2019,25,KB,1,,Labroides dimidiatus,7,3,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Neoniphon opercularis
19_07_2019,25,KB,1,,Labroides dimidiatus,9,1,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Neoniphon sammara
19_07_2019,25,KB,1,,Oxycheilinus unifasciatus,18,1,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Novaculichthys taeniourus
19_07_2019,25,KB,1,,Pseudocheilinus octotaenia,12,2,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Paracirrhites arcatus
19_07_2019,25,KB,1,,Pseudocheilinus octotaenia,8,1,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Parupeneus barberinus
19_07_2019,25,KB,1,,Thalassoma amblycephalum,4,3,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Parupeneus cyclostomus
19_07_2019,25,KB,1,,Thalassoma amblycephalum,3,6,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Parupeneus insularis
19_07_2019,25,KB,1,,Chlorurus sordidus,26,1,IP,15:33,10.4,2,,,,,,,,,,,,,,,,,,Parapercis lata
19_07_2019,25,KB,1,,Chlorurus sordidus,24,1,IP,15:33,10.4,2,,,,,,,,,,,,,,,,,,Parapercis millepunctata
19_07_2019,25,KB,1,,Scarus rubroviolaceus,29,1,TP,15:33,10.4,2,,,,,,,,,,,,,,,,,,Parupeneus multifasciatus
19_07_2019,25,KB,1,,Acanthurus nigricans,12,3,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Parupeneus pleurostigma
19_07_2019,25,KB,1,,Acanthurus nigricauda,24,1,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Paracirrhites xanthus
19_07_2019,25,KB,1,,Acanthurus nigricauda,23,1,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Parupeneus sp
19_07_2019,25,KB,1,,Ctenochaetus marginatus,7,2,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Plectroglyphidodon imparipennis
19_07_2019,25,KB,1,,Melichthys niger,21,1,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Plectroglyphidodon johnstonianus
19_07_2019,25,KB,1,,Parupeneus multifasciatus,25,1,,15:33,10.4,2,,,,,,,,,,,,,,,,,,Pomacanthus imperator
19_07_2019,25,KB,2,,Cephalopholis sexmaculata,12,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Pseudobalistes flavimarginatus
19_07_2019,25,KB,2,,Pseudanthias dispar,8,10,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Pseudocheilinus hexataenia
19_07_2019,25,KB,2,,Pseudanthias olivaceus,10,3,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Pseudodax moluccanus
19_07_2019,25,KB,2,,Lethrinus olivaceus,32,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Pseudocheilinus octotaenia
19_07_2019,25,KB,2,,Centropyge flavissima,8,2,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Pseudocheilinus sp
19_07_2019,25,KB,2,,Chaetodon vagabundus,12,2,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Rhinecanthus rectangulus
19_07_2019,25,KB,2,,Chromis margaritifer,5,10,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Rhinecanthus aculeatus
19_07_2019,25,KB,2,,Chromis margaritifer,4,65,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sargocentron caudimaculatum
19_07_2019,25,KB,2,,Chromis margaritifer,6,43,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sargocentron diadema
19_07_2019,25,KB,2,,Plectroglyphidodon dickii,8,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sargocentron ittodai
19_07_2019,25,KB,2,,Stegastes aureus,7,2,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sargocentron tiere
19_07_2019,25,KB,2,,Stegastes aureus,8,2,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sebastapistes coniorta
19_07_2019,25,KB,2,,Labroides dimidiatus,9,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sebastapistes cyanostigma
19_07_2019,25,KB,2,,Macropharyngodon meleagris,7,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sebastipes sp.
19_07_2019,25,KB,2,,Thalassoma amblycephalum,10,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Stethojulis bandanensis
19_07_2019,25,KB,2,,Thalassoma amblycephalum,3,35,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sufflamen bursa
19_07_2019,25,KB,2,,Thalassoma amblycephalum,6,10,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sufflamen chrysopterum
19_07_2019,25,KB,2,,Cheilinus trilobatus,29,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Sufflamen fraenatum
19_07_2019,25,KB,2,,Acanthurus nigricans,20,3,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Synchiropus moyeri
19_07_2019,25,KB,2,,Acanthurus nigricans,16,2,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Synchiropus ocellatus
19_07_2019,25,KB,2,,Acanthurus nigricauda,23,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Thalassoma lunare
19_07_2019,25,KB,2,,Acanthurus nigrofuscus,17,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Thalassoma lutescens
19_07_2019,25,KB,2,,Ctenochaetus striatus,22,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Thalassoma purpureum
19_07_2019,25,KB,2,,Ctenochaetus striatus,20,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Thalassoma quinquevittatum
19_07_2019,25,KB,2,,Melichthys niger,22,2,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Thalassoma trilobatum
19_07_2019,25,KB,2,,Melichthys niger,20,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Thalassoma sp
19_07_2019,25,KB,2,,Melichthys vidua,22,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Valenciennea helsdingenii
19_07_2019,25,KB,2,,Parupeneus insularis,25,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Valenciennea strigata
19_07_2019,25,KB,2,,Parupeneus pleurostigma,36,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Zanclus cornutus
19_07_2019,25,KB,2,,Parupeneus pleurostigma,31,1,,15:50,10.2,2,,,,,,,,,,,,,,,,,,Nebrius ferrugineus
19_07_2019,25,KB,3,,Pseudanthias dispar,4,10,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Pogonoperca punctata
19_07_2019,25,KB,3,,Pseudanthias dispar,7,20,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Sargocentron spiniferum
19_07_2019,25,KB,3,,Centropyge flavissima,8,1,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Acanthurus blochii
19_07_2019,25,KB,3,,Chromis margaritifer,4,10,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Acanthurus dussumieri
19_07_2019,25,KB,3,,Chromis vanderbilti,6,25,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Acanthurus olivaceus
19_07_2019,25,KB,3,,Chromis vanderbilti,4,30,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Acanthurus xanthopterus
19_07_2019,25,KB,3,,Stegastes aureus,9,1,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Coryphopterus neophytus
19_07_2019,25,KB,3,,Coris centralis,12,1,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Ctenochaetus binotatus
19_07_2019,25,KB,3,,Thalassoma lunare,8,1,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Ctenochaetus cyanocheilus
19_07_2019,25,KB,3,,Chlorurus sordidus,26,1,IP,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Ctenochaetus flavicauda
19_07_2019,25,KB,3,,Chlorurus sordidus,24,1,IP,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Ctenochaetus hawaiiensis
19_07_2019,25,KB,3,,Scarus oviceps,16,1,IP,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Ctenochaetus marginatus
19_07_2019,25,KB,3,,Scarus oviceps,42,1,TP,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Ctenochaetus striatus
19_07_2019,25,KB,3,,Scarus tricolor,23,1,IP,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Acanthurus leucochilus
19_07_2019,25,KB,3,,Acanthurus nigricans,20,2,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Acanthurus achilles
19_07_2019,25,KB,3,,Acanthurus olivaceus,18,160,,16:08,10.4,2,Strong Current for small fish segment of transect,,,,,,,,,,,,,,,,,Acanthurus achilles x nigricans
